_ID_,mag[0],mag[1],mag[2],time
3570,1.45022249,5.41815901,-3.74253988,217.12878759927116
3584,1.4729445,5.39580488,-3.75870013,217.14878760022111
3589,1.49961722,5.42807913,-3.77079654,217.15878760069609
3595,1.47921395,5.39624643,-3.73452926,217.16878760117106
3600,1.46666694,5.41496277,-3.75816822,217.17878760164604
3606,1.50239623,5.4189806,-3.73762941,217.18878760212101
3612,1.4661988,5.38947248,-3.74652648,217.19876318378374
3619,1.47602272,5.39936543,-3.7374332,217.20876318425871
3624,1.46998751,5.41166878,-3.76742435,217.21876318473369
3630,1.45350325,5.40185928,-3.7642138,217.22876318520866
3635,1.44742215,5.42075443,-3.78191805,217.23876318568364
3641,1.49912143,5.41568375,-3.74066019,217.24876318615861
3646,1.46947336,5.39277029,-3.74349546,217.25876318663359
3653,1.47322333,5.4019599,-3.77680993,217.26876318710856
3658,1.45365286,5.40818834,-3.77016401,217.27876318758354
3664,1.48277235,5.40569735,-3.7496016,217.28876318805851
3673,1.45705557,5.43090725,-3.75458026,217.29883032245561
3689,1.50568283,5.40267944,-3.75929523,217.32883032388054
3694,1.47694468,5.44384098,-3.76691794,217.33883032435551
3702,1.49604702,5.41212225,-3.76192212,217.34883032483049
3707,1.45367706,5.41469049,-3.76394916,217.35883032530546
3718,1.47016823,5.40490246,-3.79186344,217.37883032625541
3723,1.48913336,5.39295626,-3.75000572,217.38883032673039
3728,1.48617709,5.40882015,-3.75872898,217.39880590839311
3735,1.47316277,5.40204573,-3.77072453,217.40880590886809
3739,1.48281789,5.3991065,-3.76188898,217.41880590934306
