_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
7582,-3.56882811,0.199692219,-8.89706326,-3.6484623,0.0971648097,-9.12909508,0.344980657,-0.254486799,0.314191818,0.350938469,-0.260432005,0.31222254,541103648,1663.583872649353
7585,-3.68209624,-0.0159435272,-8.80486298,-3.76382494,-0.125324443,-9.02897739,0.353453249,-0.210012719,0.30738771,0.360687166,-0.212813437,0.304632574,541103648,1663.587872649543
7588,-3.74210596,-0.185152069,-8.7481842,-3.81035948,-0.278299391,-8.984972,0.372112691,-0.18021819,0.305662274,0.374681413,-0.179164425,0.317532986,541103648,1663.591872649733
7591,-3.83712339,-0.421117038,-8.64285088,-3.88064671,-0.559185624,-8.82258511,0.380529046,-0.139432356,0.315236479,0.387689829,-0.146990791,0.306855291,541103648,1663.595872649923
7594,-3.87082458,-0.686952829,-8.61923027,-3.90217447,-0.792084932,-8.81354904,0.392652959,-0.114193529,0.297520727,0.395516008,-0.117296837,0.30225727,541103648,1663.599872650113
7597,-3.87756729,-0.902468026,-8.51318169,-3.93134427,-1.01785684,-8.70090771,0.398059994,-0.0859535038,0.295218468,0.402241766,-0.0916096121,0.300599992,541103648,1663.6038726503029
7600,-3.87093925,-1.08832681,-8.42035389,-3.90702844,-1.20994306,-8.59162426,0.406556368,-0.0579325296,0.293319076,0.412795246,-0.0666589811,0.286722809,541103648,1663.6078726504929
7605,-3.82717514,-1.23801398,-8.33460712,-3.86581993,-1.35326159,-8.47917938,0.408780366,-0.0464762338,0.270364583,0.409027874,-0.0491573922,0.278905571,541103648,1663.6118726506829
7608,-3.81129479,-1.35640287,-8.27489662,-3.84635448,-1.5060091,-8.4357214,0.392871141,-0.0289561041,0.268416286,0.399005204,-0.0337642692,0.268381178,541103648,1663.6158726508729
7611,-3.76770544,-1.51007855,-8.18613148,-3.79803133,-1.65926969,-8.38089371,0.376822352,-0.0171971582,0.249670833,0.383049726,-0.0190719571,0.243359983,541103648,1663.6198726510629
7614,-3.72215915,-1.54608941,-8.10837936,-3.74250579,-1.68102109,-8.25732708,0.369878143,-0.0160056949,0.221361801,0.370246053,-0.0159298554,0.237296894,541103648,1663.6238726512529
7617,-3.67039251,-1.67479408,-7.99038696,-3.75287104,-1.77971363,-8.18126297,0.352659971,-0.00855652336,0.220273286,0.356330752,-0.0175643265,0.212564066,541103648,1663.6278726514429
7620,-3.63125873,-1.79093671,-7.9111743,-3.67644525,-1.89663887,-8.05757141,0.328350753,-0.0175789073,0.184048221,0.334174693,-0.0209555645,0.182343453,541103648,1663.6318726516329
7623,-3.56988716,-1.86618936,-7.86053324,-3.60234141,-2.01983643,-7.94758224,0.309324473,-0.0235874299,0.16137895,0.312864155,-0.0251129307,0.166681826,541103648,1663.6358726518229
7626,-3.53372192,-1.93303895,-7.70983458,-3.58280611,-2.06599951,-7.86161375,0.271883219,-0.0244270172,0.137945235,0.281667948,-0.0277647078,0.130841851,541103648,1663.6398726520129
7629,-3.46453094,-1.94042552,-7.80890799,-3.49142909,-2.10995865,-7.84682703,0.271484077,-0.0457459167,0.0975004807,0.271793693,-0.0466748029,0.102279022,541103648,1663.6438726522028
7632,-3.42610264,-2.02246046,-7.55983877,-3.44915795,-2.18520808,-7.67578793,0.235291675,-0.051148802,0.0781005248,0.239538327,-0.0561199859,0.0768531933,541103648,1663.6478726523928
7635,-3.35140681,-2.02118373,-7.47430611,-3.38970828,-2.17674136,-7.60173321,0.2204898,-0.0649204329,0.0476428159,0.225441888,-0.069107838,0.0382639319,541103648,1663.6518726525828
7638,-3.29748011,-2.04189634,-7.50783682,-3.35470247,-2.17241287,-7.65188503,0.197326615,-0.0804852098,0.00248026685,0.202425823,-0.0831535459,0.0125954915,541103648,1663.6558726527728
7641,-3.24958801,-2.01823997,-7.44323969,-3.26706624,-2.14878988,-7.55555439,0.194076315,-0.0949868113,-0.0219332259,0.20239611,-0.102517694,-0.0223285668,541103648,1663.6598726529628
7644,-3.16296816,-2.04833913,-7.37849474,-3.21402383,-2.24112153,-7.45669842,0.189361587,-0.117441379,-0.0613594353,0.193458766,-0.12156564,-0.0634640381,541103648,1663.6638726531528
7647,-3.10960197,-2.12136841,-7.28706264,-3.14069462,-2.27155471,-7.38429642,0.165622115,-0.126565635,-0.0983573347,0.168511316,-0.132238194,-0.0859426036,541103648,1663.6678726533428
7652,-2.97007322,-2.09419847,-7.31265831,-3.03829598,-2.25959206,-7.4366765,0.172776759,-0.143454522,-0.122436576,0.176701471,-0.152097702,-0.129732475,541103648,1663.6718726535328
7655,-2.90946889,-2.11932921,-7.30602741,-2.92986774,-2.26916981,-7.41395617,0.176142275,-0.164950028,-0.164321199,0.175332695,-0.16895546,-0.160850585,541103648,1663.6758726537228
7658,-2.78425097,-2.11344123,-7.22644758,-2.7985847,-2.27462792,-7.32467794,0.178578287,-0.184039786,-0.189020425,0.182119444,-0.189225197,-0.18358925,541103648,1663.6798726539128
7661,-2.69481349,-2.21656156,-7.24927902,-2.7521081,-2.36573863,-7.41715384,0.167914286,-0.19299458,-0.211243317,0.177128688,-0.200791389,-0.217249081,541103648,1663.6838726541027
7664,-2.58359981,-2.21001124,-7.25776005,-2.59402251,-2.3575232,-7.35804987,0.194083691,-0.216339767,-0.246455267,0.193441197,-0.22101222,-0.235742748,541103648,1663.6878726542927
7667,-2.46668386,-2.36385942,-7.19763708,-2.50691724,-2.49192762,-7.30257607,0.184881434,-0.227109805,-0.252378821,0.187461153,-0.233240113,-0.255156279,541103648,1663.6918726544827
7670,-2.38080001,-2.41076112,-7.13152981,-2.40189147,-2.52368999,-7.3168025,0.17890428,-0.237189457,-0.275403857,0.185733497,-0.24031812,-0.278005302,541103648,1663.6958726546727
7673,-2.27043462,-2.46058226,-7.12065649,-2.28012705,-2.57299185,-7.21264124,0.187835947,-0.255688101,-0.292718142,0.188943923,-0.257997006,-0.284538627,541103648,1663.6998726548627
7676,-2.18642354,-2.55456853,-7.02925062,-2.25054455,-2.6450038,-7.0996294,0.175250918,-0.25411886,-0.291707754,0.184589028,-0.264450699,-0.296999216,541103648,1663.7038726550527
7679,-2.10869741,-2.57181454,-6.91757011,-2.16493893,-2.68198204,-7.06023312,0.175660625,-0.268415064,-0.311976552,0.178986341,-0.270520091,-0.31140241,541103648,1663.7078726552427
7682,-2.04571533,-2.59854412,-6.90321255,-2.08176303,-2.6603961,-7.06153488,0.166914493,-0.273134798,-0.312441468,0.170923606,-0.277619928,-0.30221653,541103648,1663.7118726554327
7685,-1.98588133,-2.61500406,-6.789639,-2.01880598,-2.70745039,-6.91321182,0.160062432,-0.27043125,-0.304584235,0.165177956,-0.277689099,-0.309681177,541103648,1663.7158726556227
7688,-1.93663418,-2.66812468,-6.65272522,-1.98682809,-2.77552962,-6.78293896,0.153832495,-0.278153718,-0.315008551,0.153550237,-0.280305088,-0.31083712,541103648,1663.7198726558127
7691,-1.90806174,-2.72711802,-6.68448687,-1.95082235,-2.80979776,-6.87427855,0.119142741,-0.263382792,-0.304535419,0.124358565,-0.272402734,-0.302174211,541103648,1663.7238726560026
7694,-1.88976002,-2.7474575,-6.66276169,-1.94276953,-2.79886174,-6.81080866,0.107079916,-0.262252688,-0.300877333,0.112223931,-0.264154822,-0.30725193,541103648,1663.7278726561926
7697,-1.8268851,-2.72757602,-6.59209776,-1.89917254,-2.84323931,-6.75228119,0.0926252753,-0.255565554,-0.302767515,0.0976132452,-0.254394412,-0.291706443,541103648,1663.7318726563826
