ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
570588600,0,3098535.870000,1011150.430000,5464108.280000,59.352912,18.073145,32.460000,8.217000,0.789000,1.052000,1.210000,553056.516176
570588800,0,3098535.870000,1011150.430000,5464108.300000,59.352912,18.073145,32.481000,8.238000,0.788000,1.050000,1.150000,553056.516176
570589000,0,3098535.860000,1011150.430000,5464108.340000,59.352912,18.073145,32.506000,8.263000,0.787000,1.047000,1.150000,553056.516145
570589200,0,3098535.850000,1011150.430000,5464108.390000,59.352912,18.073145,32.540000,8.296000,0.786000,1.044000,1.150000,553056.516145
570589400,0,3098535.840000,1011150.420000,5464108.420000,59.352913,18.073145,32.564000,8.321000,0.785000,1.042000,1.150000,553056.516145
570589600,0,3098535.820000,1011150.420000,5464108.440000,59.352913,18.073145,32.569000,8.325001,0.784000,1.040000,1.150000,553056.516145
570589800,0,3098535.810000,1011150.410000,5464108.450000,59.352913,18.073145,32.571000,8.328000,0.783000,1.039000,1.150000,553056.516145
570590000,0,3098535.800000,1011150.390000,5464108.450000,59.352913,18.073145,32.564000,8.321000,0.782000,1.037000,1.150000,553056.516206
570590200,0,3098535.780000,1011150.390000,5464108.450000,59.352913,18.073145,32.556000,8.313001,0.781000,1.036000,1.150000,553056.516206
570590400,0,3098535.750000,1011150.380000,5464108.460000,59.352913,18.073145,32.552000,8.308001,0.781000,1.036000,1.150000,553056.516206
570590600,0,3098535.720000,1011150.360000,5464108.480000,59.352914,18.073145,32.546000,8.302000,0.780000,1.036000,1.150000,553056.516206
570590800,0,3098535.690000,1011150.350000,5464108.510000,59.352914,18.073145,32.554000,8.311001,0.780000,1.036000,1.150000,553056.516206
570591000,0,3098535.650000,1011150.340000,5464108.540000,59.352915,18.073145,32.558000,8.314000,0.779000,1.037000,1.150000,553056.516176
570591200,0,3098535.620000,1011150.330000,5464108.560000,59.352915,18.073145,32.564000,8.321000,0.778000,1.039000,1.210000,553056.516176
570591400,0,3098535.570000,1011150.310000,5464108.590000,59.352916,18.073145,32.559000,8.316000,0.777000,1.039000,1.150000,553056.516176
570591600,0,3098535.530000,1011150.300000,5464108.650000,59.352916,18.073145,32.589000,8.346001,0.776000,1.039000,1.150000,553056.516176
570591800,0,3098535.490000,1011150.280000,5464108.670000,59.352917,18.073145,32.582000,8.339001,0.775000,1.037000,1.150000,553056.516176
570592000,0,3098535.440000,1011150.270000,5464108.710000,59.352917,18.073145,32.594000,8.351001,0.773000,1.036000,1.150000,553056.516237
570592200,0,3098535.420000,1011150.260000,5464108.730000,59.352917,18.073145,32.604000,8.361000,0.773000,1.037000,1.150000,553056.516237
570592400,0,3098535.400000,1011150.250000,5464108.750000,59.352918,18.073145,32.605000,8.362000,0.772000,1.037000,1.150000,553056.516237
570592600,0,3098535.370000,1011150.240000,5464108.770000,59.352918,18.073145,32.607000,8.364000,0.772000,1.038000,1.150000,553056.516237
570592800,0,3098535.350000,1011150.230000,5464108.790000,59.352918,18.073145,32.615000,8.372001,0.772000,1.038000,1.150000,553056.516237
570593000,0,3098535.330000,1011150.220000,5464108.820000,59.352919,18.073145,32.628000,8.385000,0.771000,1.038000,1.150000,553056.516298
570593200,0,3098535.320000,1011150.210000,5464108.840000,59.352919,18.073144,32.639000,8.395000,0.770000,1.038000,1.150000,553056.516298
570593400,0,3098535.310000,1011150.200000,5464108.880000,59.352919,18.073144,32.665000,8.422000,0.769000,1.038000,1.150000,553056.516298
570593600,0,3098535.300000,1011150.200000,5464108.910000,59.352919,18.073144,32.692000,8.449000,0.768000,1.039000,1.150000,553056.516298
570593800,0,3098535.310000,1011150.200000,5464108.960000,59.352919,18.073144,32.738000,8.495001,0.767000,1.040000,1.150000,553056.516298
570594000,0,3098535.300000,1011150.200000,5464108.990000,59.352920,18.073144,32.758000,8.515000,0.766000,1.041000,1.150000,553056.516267
570594200,0,3098535.290000,1011150.190000,5464109.030000,59.352920,18.073144,32.785000,8.542001,0.765000,1.041000,1.130000,553056.516267
570594400,0,3098535.290000,1011150.190000,5464109.080000,59.352920,18.073144,32.824000,8.581000,0.764000,1.042000,1.130000,553056.516267
570594600,0,3098535.290000,1011150.190000,5464109.100000,59.352920,18.073144,32.841000,8.598001,0.763000,1.043000,1.130000,553056.516267
570594800,0,3098535.290000,1011150.190000,5464109.100000,59.352920,18.073144,32.842000,8.598001,0.762000,1.043000,1.130000,553056.516267
570595000,0,3098535.290000,1011150.180000,5464109.110000,59.352920,18.073144,32.852000,8.609000,0.761000,1.044000,1.130000,553056.516329
570595200,0,3098535.290000,1011150.180000,5464109.140000,59.352920,18.073144,32.878000,8.635000,0.761000,1.044000,1.130000,553056.516329
570595400,0,3098535.290000,1011150.180000,5464109.150000,59.352920,18.073144,32.889000,8.645000,0.764000,1.050000,1.150000,553056.516329
570595600,0,3098535.310000,1011150.190000,5464109.170000,59.352920,18.073144,32.911000,8.668000,0.765000,1.052000,1.150000,553056.516329
