_ID_,bar,barTemp,humidity,mslBar,time
2585,101.283379,47.3458061,1.34680903,3.46513009,531.34777856711298
2590,101.286102,47.3458061,1.54620671,3.23830175,531.35577856749296
2602,101.284378,47.3356781,1.20109069,3.3821435,531.38377856882289
2611,101.278923,47.3356781,1.25387454,3.83631682,531.3997541507706
2616,101.286102,47.3458061,1.59312212,3.23830175,531.40775415115058
2621,101.288834,47.3458061,1.17672563,3.01097679,531.41575415153056
2624,101.278923,47.3356781,0.995812356,3.83631682,531.42375415191054
2628,101.284378,47.3356781,1.46500218,3.3821435,531.43175415229052
2635,101.280647,47.3458061,1.5579356,3.69297051,531.44375415286049
2640,101.281647,47.3356781,1.43567967,3.60947871,531.45175415324047
2646,101.286102,47.3458061,1.58725774,3.23830175,531.45975415362045
2651,101.289833,47.3356781,1.11311567,2.92799449,531.46775415400043
2656,101.286102,47.3458061,1.31748497,3.23830175,531.47575415438041
2659,101.284378,47.3356781,1.53537524,3.3821435,531.48375415476039
2670,101.288834,47.3458061,1.14740002,3.01097679,531.49572973651811
2673,101.286102,47.3458061,1.6283083,3.23830175,531.50372973689809
2677,101.283379,47.3458061,1.31162012,3.46513009,531.51172973727807
2682,101.279785,47.340744,0.924973071,3.76439166,531.51972973765805
2687,101.281647,47.3356781,1.32425189,3.60947871,531.52772973803803
2693,101.28524,47.340744,1.20650327,3.31022239,531.53572973841801
2698,101.286102,47.3458061,0.983172297,3.23830175,531.54772973898798
2702,101.284378,47.3356781,1.31252241,3.3821435,531.55572973936796
2705,101.287102,47.3356781,1.01340806,3.15531754,531.56372973974794
2710,101.279785,47.340744,1.55838406,3.76439166,531.57172974012792
2715,101.286102,47.3458061,1.3819977,3.23830175,531.5797297405079
2720,101.28524,47.340744,1.16544819,3.31022239,531.58772974088788
2726,101.278923,47.3356781,1.51191771,3.83631682,531.59579687518999
2732,101.284378,47.3356781,1.55883253,3.3821435,531.60779687575996
2737,101.286102,47.3458061,1.37613297,3.23830175,531.61579687613994
2740,101.276192,47.3356781,1.16003597,4.06366444,531.62379687651992
2745,101.284378,47.3356781,1.24214482,3.3821435,531.6317968768999
2751,101.286102,47.3458061,1.48756158,3.23830175,531.63979687727988
2755,101.278923,47.3356781,1.66438878,3.83631682,531.64779687765986
2762,101.288101,47.3255539,1.31342471,3.07183075,531.65979687822983
2767,101.278923,47.3356781,1.34771061,3.83631682,531.66779687860981
2773,101.277199,47.3255539,1.34861207,3.98016882,531.68379687936977
2781,101.278923,47.3356781,1.33598125,3.83631682,531.6917724609375
2786,101.284378,47.3356781,1.5412395,3.3821435,531.69977246131748
2791,101.281647,47.3356781,1.28906333,3.60947871,531.70777246169746
2797,101.284378,47.3356781,1.35943997,3.3821435,531.71977246226743
2801,101.287102,47.3356781,1.40635693,3.15531754,531.72777246264741
2807,101.280647,47.3458061,1.51101971,3.69297051,531.73577246302739
2810,101.286102,47.3458061,1.72800052,3.23830175,531.74377246340737
2815,101.278923,47.3356781,1.14830601,3.83631682,531.75177246378735
2820,101.287102,47.3356781,1.73475778,3.15531754,531.75977246416733
2825,101.284378,47.3356781,1.34771061,3.3821435,531.7717724647373
2830,101.275192,47.3458061,1.5579356,4.14716053,531.77977246511728
2835,101.280647,47.3458061,1.33507943,3.69297051,531.78777246549726
2841,101.281647,47.3356781,1.12484586,3.60947871,531.79574804706499
2844,101.286102,47.3458061,1.20605099,3.23830175,531.80374804744497
2849,101.289833,47.3356781,1.45327318,2.92799449,531.81174804782495
2853,101.286102,47.3458061,1.34094429,3.23830175,531.81974804820493
2859,101.287102,47.3356781,1.50018883,3.15531754,531.8317480487749
2866,101.284378,47.3356781,1.35943997,3.3821435,531.83974804915488
2871,101.278923,47.3356781,1.57056117,3.83631682,531.84774804953486
2878,101.281647,47.3356781,1.11311567,3.60947871,531.85574804991484
2881,101.278923,47.3356781,1.38289845,3.83631682,531.86374805029482
2891,101.286102,47.3458061,1.52274883,3.23830175,531.88374805124477
2899,101.280647,47.3458061,1.45237398,3.69297051,531.8917236328125
2908,101.279785,47.340744,1.53492653,3.76439166,531.90772363357246
2913,101.28524,47.340744,1.28861201,3.31022239,531.91572363395244
2916,101.276192,47.3356781,1.18349588,4.06366444,531.92372363433242
2924,101.279785,47.340744,0.94843477,3.76439166,531.93572363490239
2927,101.284378,47.3356781,1.76994169,3.3821435,531.94372363528237
2932,101.286102,47.3458061,1.58139336,3.23830175,531.95172363566235
2937,101.280647,47.3458061,1.03596067,3.69297051,531.95972363604233
2941,101.286102,47.3458061,1.60485089,3.23830175,531.96772363642231
2946,101.277924,47.3458061,1.68695116,3.91981101,531.97572363680229
2949,101.283379,47.3458061,1.25883591,3.46513009,531.98372363718227
2958,101.280647,47.3458061,1.33507943,3.69297051,531.99579077167436
2962,101.28524,47.340744,1.3355304,3.31022239,532.00379077205434
2971,101.281509,47.3508682,1.36981773,3.62104678,532.0197907728143
2976,101.288834,47.3458061,1.4582386,3.01097679,532.02779077319428
2982,101.280647,47.3458061,1.56966448,3.69297051,532.03579077357426
2987,101.281509,47.3508682,1.55748713,3.62104678,532.04779077414423
2994,101.284241,47.3508682,1.51057076,3.39371133,532.05579077452421
2997,101.286102,47.3458061,1.54620671,3.23830175,532.06379077490419
3001,101.275192,47.3458061,1.10047865,4.14716053,532.07179077528417
3005,101.281647,47.3356781,1.40635693,3.60947871,532.07979077566415
3010,101.280647,47.3458061,1.48756158,3.69297051,532.08779077604413
3018,101.284241,47.3508682,1.11175573,3.39371133,532.09576635761186
3023,101.276917,47.3559303,1.34004259,4.00330591,532.10776635818183
3027,101.275192,47.3458061,1.4992907,4.14716053,532.11576635856181
3030,101.286102,47.3458061,1.22951102,3.23830175,532.12376635894179
3035,101.276192,47.3356781,1.2831986,4.06366444,532.13176635932177
3040,101.286102,47.3458061,1.57552898,3.23830175,532.13976635970175
3044,101.284378,47.3356781,1.42981505,3.3821435,532.14776636008173
3050,101.278923,47.3356781,1.42395055,3.83631682,532.1597663606517
3055,101.280647,47.3458061,1.42891538,3.69297051,532.16776636103168
3061,101.287827,47.3559303,0.958800554,3.0949657,532.18376636179164
3066,101.286102,47.3458061,1.28816056,3.23830175,532.19174194335938
3072,101.281509,47.3508682,1.32289875,3.62104678,532.19974194373935
3076,101.280647,47.3458061,1.30575526,3.69297051,532.20774194411933
3081,101.286102,47.3458061,1.34094429,3.23830175,532.2197419446893
3086,101.282372,47.3559303,1.72124302,3.54912353,532.22774194506928
3093,101.286964,47.3508682,1.59267414,3.1668849,532.24374194582924
3098,101.282372,47.3559303,1.36350226,3.54912353,532.25174194620922
3104,101.286964,47.3508682,1.40500653,3.1668849,532.2597419465892
3110,101.276054,47.3508682,1.58094513,4.07523298,532.27174194715917
3114,101.282372,47.3559303,1.193416,3.54912353,532.27974194753915
3120,101.287827,47.3559303,1.21101153,3.0949657,532.28774194791913
3129,101.280647,47.3458061,1.61657965,3.69297051,532.29571752948686
3132,101.279648,47.3559303,1.65087068,3.77595997,532.30371752986684
3137,101.276054,47.3508682,1.41673601,4.07523298,532.31171753024682
3143,101.284103,47.3660583,1.56787109,3.4047761,532.32371753081679
3148,101.282372,47.3559303,1.26379752,3.54912353,532.33171753119677
3156,101.276917,47.3559303,1.62741292,4.00330591,532.34771753195673
3161,101.282372,47.3559303,1.20514631,3.54912353,532.35571753233671
3164,101.285103,47.3559303,1.3107177,3.32178998,532.36371753271669
3169,101.282372,47.3559303,0.993993878,3.54912353,532.37171753309667
3180,101.281509,47.3508682,0.970986605,3.62104678,532.39178466796875
3189,101.280647,47.3458061,1.80423379,3.69297051,532.40778466872871
3196,101.279648,47.3559303,1.1347636,3.77595997,532.42378466948867
3203,101.283379,47.3458061,1.15913033,3.46513009,532.43578467005864
3207,101.280647,47.3458061,1.2998904,3.69297051,532.44378467043862
3212,101.282372,47.3559303,1.34590757,3.54912353,532.4517846708186
3222,101.280647,47.3458061,1.59312212,3.69297051,532.46778467157856
3227,101.282372,47.3559303,1.34590757,3.54912353,532.47578467195854
3230,101.279648,47.3559303,1.11716771,3.77595997,532.48378467233852
3241,101.282372,47.3559303,1.58049691,3.54912353,532.49576025409624
